Cultivo;Campaña;Zona;Sembrado (Ha);Perdído(Ha);Cosechado(Ha);Rinde(qq/Ha);Producción(MTn)
Soja;2013/2014;IV;1437850;82200;1355650;29.9;4058474
Soja;2013/2014;V;1119400;58900;1060500;30;3178118
Soja;2013/2014;VI;3435400;107325;3328075;32.6;10837137
Soja;2013/2014;VII;2702000;91850;2610150;31.4;8205479
Soja;2013/2014;VIII;1186950;48230;1138720;25.1;2860035
Soja;2013/2014;IX;1601900;58900;1543000;26.1;4025019
Soja;2013/2014;X;550050;58840;491210;24;1179104
Soja;2013/2014;XI;482500;39420;443080;13.6;602222
Soja;2013/2014;XII;1534350;78180;1456170;18.7;2720003
Soja;2013/2014;XIII;159225;19300;139925;20.2;283138
Soja;2013/2014;XIV;195895;10650;185245;28.7;531119
Soja;2013/2014;XV;48250;4825;43425;17.4;75698
