Cultivo;Campaña;Zona;Sembrado (Ha);Perdído(Ha);Cosechado(Ha);Rinde(qq/Ha);Producción(MTn)
Trigo;2008/2009;X;185000;4000;181000;35;633500
Trigo;2008/2009;XI;920000;130000;790000;13;1027000
Trigo;2008/2009;XII;1150000;7000;1143000;27.5;3143250
Trigo;2008/2009;XIII;15000;1000;14000;25.6;35840
Trigo;2008/2009;XIV;87000;4000;83000;30.7;254810
Trigo;2008/2009;XV;20000;6000;14000;12;16800
Trigo;2008/2009;TOTAL;4700000;360000;4340000;21.2;9198000
Trigo;2009/2010;I;270000;40000;230000;8;184000
Trigo;2009/2010;II;10000;6000;4000;6;2400
Trigo;2009/2010;III;120000;40000;80000;12;96000
Trigo;2009/2010;IV;72000;15000;57000;14;79800
Trigo;2009/2010;V;86000;5000;81000;18;145800
Trigo;2009/2010;VI;175000;5000;170000;30;510000
Trigo;2009/2010;VII;210000;2000;208000;38.9;809120
Trigo;2009/2010;VIII;250000;9000;241000;37;891700
Trigo;2009/2010;IX;150000;5000;145000;27;391500
Trigo;2009/2010;X;140000;2000;138000;38;524400
Trigo;2009/2010;XI;690000;100000;590000;8.9;525100
Trigo;2009/2010;XII;1090000;30000;1060000;33;3498000
Trigo;2009/2010;XIII;9000;400;8600;29.1;25026
Trigo;2009/2010;XIV;50000;0;50000;40.7;203500
Trigo;2009/2010;XV;8000;600;7400;18.9;14040
Trigo;2009/2010;TOTAL;3330000;260000;3070000;25.7;7900386
Trigo;2010/2011;I;460000;46000;414000;13;538200
Trigo;2010/2011;II;260000;5500;254500;21;534450
Trigo;2010/2011;III;420000;5000;415000;27;1120500
Trigo;2010/2011;IV;150000;3500;146500;25;366250
Trigo;2010/2011;V;160000;3000;157000;35;549500
Trigo;2010/2011;VI;420000;2000;418000;44;1839200
Trigo;2010/2011;VII;325000;1200;323800;46;1489480
Trigo;2010/2011;VIII;230000;500;229500;37;849150
Trigo;2010/2011;IX;220000;5000;215000;31;666500
Trigo;2010/2011;X;155000;1000;154000;41;631400
Trigo;2010/2011;XI;760000;12000;748000;26;1944800
Trigo;2010/2011;XII;1070000;7000;1063000;47;4996100
Trigo;2010/2011;XIII;4000;1000;3000;27;8100
Trigo;2010/2011;XIV;56000;800;55200;41;226320
Trigo;2010/2011;XV;10000;1500;8500;25;21250
Trigo;2010/2011;TOTAL;4700000;95000;4605000;34.3;15781200
Trigo;2011/2012;I;450800;45000;405800;10;405800
Trigo;2011/2012;II;310000;27900;282100;13;366730
Trigo;2011/2012;III;378000;18900;359100;24;861840
Trigo;2011/2012;IV;142500;5000;137500;20;275000
Trigo;2011/2012;V;184000;3680;180320;31;558992
Trigo;2011/2012;VI;340000;3000;337000;36.6;1233420
Trigo;2011/2012;VII;292800;2500;290300;42;1219260
Trigo;2011/2012;VIII;220000;1000;219000;32;700800
Trigo;2011/2012;IX;260000;1350;258650;38.5;995803
Trigo;2011/2012;X;170000;0;170000;42;714000
Trigo;2011/2012;XI;836000;55000;781000;24;1874400
Trigo;2011/2012;XII;941000;2300;938700;48;4505760
Trigo;2011/2012;XIII;4400;200;4200;28;11760
Trigo;2011/2012;XIV;60500;0;60500;41;248050
Trigo;2011/2012;XV;10000;0;10000;29;29000
Trigo;2011/2012;TOTAL;4600000;165830;4434170;31.6;14000615
Trigo;2012/2013;I;340000;50000;290000;7.9;229100
Trigo;2012/2013;II;160000;6000;154000;15.8;243936
Trigo;2012/2013;III;265000;5000;260000;25.5;663000
Trigo;2012/2013;IV;130000;5000;125000;30;375000
Trigo;2012/2013;V;160000;3000;157000;19.4;304384
Trigo;2012/2013;VI;265000;11000;254000;29.5;749300
Trigo;2012/2013;VII;240000;12000;228000;28;638400
Trigo;2012/2013;VIII;150000;4500;145500;20;291000
Trigo;2012/2013;IX;260000;35000;225000;28;630000
Trigo;2012/2013;X;140000;40000;100000;27.5;275000
Trigo;2012/2013;XI;650000;30000;620000;30.6;1897200
Trigo;2012/2013;XII;550000;35000;515000;45;2317500
Trigo;2012/2013;XIII;3000;400;2600;23;5980
Trigo;2012/2013;XIV;50000;3000;47000;34;159800
Trigo;2012/2013;XV;7000;100;6900;33;22770
Trigo;2012/2013;TOTAL;3370000;240000;3130000;28.1;8802370
Trigo;2013/2014;I;50000;20000;30000;12;36000
Trigo;2013/2014;II;140000;50000;90000;6;54000
Trigo;2013/2014;III;320000;35000;285000;12;342000
Trigo;2013/2014;IV;156000;17000;139000;14;194600
Trigo;2013/2014;V;192000;25000;167000;17;283900
Trigo;2013/2014;VI;315000;18000;297000;26;772200
Trigo;2013/2014;VII;280000;8000;272000;40;1088000
Trigo;2013/2014;VIII;180000;7000;173000;28;484400
Trigo;2013/2014;IX;300000;10000;290000;32;928000
Trigo;2013/2014;X;165000;4500;160500;45;722250
Trigo;2013/2014;XI;800000;16000;784000;23;1803200
Trigo;2013/2014;XII;650000;6500;643500;48;3088800
Trigo;2013/2014;XIII;4000;700;3300;20;6600
Trigo;2013/2014;XIV;60000;1800;58200;48;279360
Trigo;2013/2014;XV;8000;500;7500;23;17250
Trigo;2013/2014;TOTAL;3620000;220000;3400000;29.7;10100560
Trigo;2014/2015;I;180000;13000;167000;10.7;179024
Trigo;2014/2015;II;250000;16000;234000;11.6;271440
Trigo;2014/2015;III;705000;21000;684000;26.3;1798920
Trigo;2014/2015;IV;270000;10000;260000;25.1;652570
Trigo;2014/2015;V;220000;15000;205000;21.6;442800
Trigo;2014/2015;VI;700000;18000;682000;29.6;2019402
Trigo;2014/2015;VII;410000;20000;390000;35.7;1392300
Trigo;2014/2015;VIII;230000;10000;220000;22.6;497200
Trigo;2014/2015;IX;390000;7000;383000;38.1;1459230
Trigo;2014/2015;X;150000;5000;145000;33.2;481360
Trigo;2014/2015;XI;810000;27000;783000;27.1;2121930
Trigo;2014/2015;XII;610000;33000;577000;37.6;2169520
Trigo;2014/2015;XIII;5000;700;4300;11.7;5031
Trigo;2014/2015;XIV;60000;16000;44000;30.2;132792
Trigo;2014/2015;XV;10000;300;9700;27.3;26481
Trigo;2014/2015;TOTAL;5000000;212000;4788000;28.5;13650000
Trigo;2015/2016;I;220000;30000;190000;12.8;242394
Trigo;2015/2016;II;240000;18000;222000;17.3;384713
Trigo;2015/2016;III;560000;42000;518000;23.2;1195170
Trigo;2015/2016;IV;190000;40000;150000;25.6;384000
Trigo;2015/2016;V;215000;14000;201000;24.1;484710
Trigo;2015/2016;VI;470000;25000;445000;36.8;1632610
Trigo;2015/2016;VII;340000;56000;284000;37.5;1061200
Trigo;2015/2016;VIII;165000;7000;158000;30;474000
Trigo;2015/2016;IX;390000;13000;377000;37.7;1422042
Trigo;2015/2016;X;210000;10500;199500;38;758100
Trigo;2015/2016;XI;570000;20000;550000;27.6;1518129
Trigo;2015/2016;XII;465000;22000;443000;43.4;1920609
Trigo;2015/2016;XIII;5000;200;4800;22.6;10834
Trigo;2015/2016;XIV;50000;21500;28500;32.6;92768
Trigo;2015/2016;XV;10000;800;9200;20.4;18722
Trigo;2015/2016;TOTAL;4100000;320000;3780000;30.7;11600000
Trigo;2016/2017;I;270000;13000;257000;11.4;293494
Trigo;2016/2017;II;290000;10000;280000;16.3;456400
Trigo;2016/2017;III;750000;19000;731000;29;2119900
Trigo;2016/2017;IV;390000;17000;373000;32.4;1210242
Trigo;2016/2017;V;290000;13000;277000;30;831000
Trigo;2016/2017;VI;660000;15000;645000;41.5;2676750
Trigo;2016/2017;VII;565000;13000;552000;42.4;2340480
Trigo;2016/2017;VIII;265000;12000;253000;32.6;823515
Trigo;2016/2017;IX;500000;13000;487000;41.8;2037608
Trigo;2016/2017;X;325000;9000;316000;38.7;1222920
Trigo;2016/2017;XI;460000;11000;449000;30.3;1360470
Trigo;2016/2017;XII;530000;17000;513000;36.5;1872963
Trigo;2016/2017;XIII;7000;500;6500;23.6;15337
Trigo;2016/2017;XIV;83000;2000;81000;38.1;308586
Trigo;2016/2017;XV;15000;500;14500;21;30450
Trigo;2016/2017;TOTAL;5400000;165000;5235000;33.6;17600000
Trigo;2017/2018;I;390000;14000;376000;10.2;383833
Trigo;2017/2018;II;465000;12000;453000;14.1;638882
Trigo;2017/2018;III;610000;25000;585000;22.9;1337895
Trigo;2017/2018;IV;385000;13000;372000;34.6;1286004
Trigo;2017/2018;V;450000;14000;436000;25.8;1124444
Trigo;2017/2018;VI;830000;14000;816000;43.7;3565920
Trigo;2017/2018;VII;542000;12000;530000;44.8;2377050
Trigo;2017/2018;VIII;260000;11000;249000;23.1;574941
Trigo;2017/2018;IX;408000;12000;396000;41.2;1631120
Trigo;2017/2018;X;260000;7000;253000;36.6;926360
Trigo;2017/2018;XI;485000;8000;477000;28.2;1345140
Trigo;2017/2018;XII;505000;10000;495000;43.7;2165625
Trigo;2017/2018;XIII;9000;500;8500;23;19512
Trigo;2017/2018;XIV;85000;2000;83000;41;339967
Trigo;2017/2018;XV;16000;500;15500;21.5;33309
Trigo;2017/2018;TOTAL;5700000;155000;5545000;32;17750000
Trigo;2018/2019;I;390000;10000;380000;9.7;368503
Trigo;2018/2019;II;465000;9000;456000;20.8;948503
Trigo;2018/2019;III;630000;13000;617000;19.2;1182423
Trigo;2018/2019;IV;425000;10000;415000;26.8;1110152
Trigo;2018/2019;V;485000;10000;475000;29.5;1402900
Trigo;2018/2019;VI;860000;16000;844000;29.6;2494936
Trigo;2018/2019;VII;590000;10000;580000;43.5;2521886
Trigo;2018/2019;VIII;280000;4000;276000;38.6;1065395
Trigo;2018/2019;IX;495000;8000;487000;40.3;1962433
Trigo;2018/2019;X;340000;8000;332000;39.2;1302611
Trigo;2018/2019;XI;530000;9000;521000;33.3;1737122
Trigo;2018/2019;XII;580000;6000;574000;42.8;2454716
Trigo;2018/2019;XIII;10000;400;9600;23.8;22888
Trigo;2018/2019;XIV;100000;1000;99000;38.8;383823
Trigo;2018/2019;XV;20000;600;19400;21.5;41710
Trigo;2018/2019;TOTAL;6200000;115000;6085000;31.2;19000000
Trigo;2019/2020;I;436000;8720;427280;14.5;620157
Trigo;2019/2020;II;450000;13500;436500;21.4;935933
Trigo;2019/2020;III;690000;20700;669300;27;1809012
Trigo;2019/2020;IV;457000;13800;443200;22.2;983129
Trigo;2019/2020;V;480000;4800;475200;29.4;1398877
Trigo;2019/2020;VI;898000;18000;880000;37.5;3301395
Trigo;2019/2020;VII;622000;12500;609500;40.2;2451415
Trigo;2019/2020;VIII;315000;7880;307120;27.5;845106
Trigo;2019/2020;IX;535000;17700;517300;30.2;1563922
Trigo;2019/2020;X;356000;7000;349000;31;1080805
Trigo;2019/2020;XI;555000;33700;521300;12.7;664463
Trigo;2019/2020;XII;640000;5980;634020;42.9;2720107
Trigo;2019/2020;XIII;12000;700;11300;21.4;24172
Trigo;2019/2020;XIV;131000;1100;129900;26.9;349810
Trigo;2019/2020;XV;23000;920;22080;23.4;51698
Trigo;2019/2020;TOTAL;6600000;167000;6433000;29.2;18800000
Trigo;2020/2021;I;406000;81200;324800;7.2;234847
Trigo;2020/2021;II;365000;76600;288400;8.5;244529
Trigo;2020/2021;III;516000;82500;433500;12;518948
Trigo;2020/2021;IV;373000;44800;328200;17.2;565801
Trigo;2020/2021;V;498000;29900;468100;16;749413
Trigo;2020/2021;VI;850000;76500;773500;21;1621848
Trigo;2020/2021;VII;647000;19400;627600;43.8;2747470
Trigo;2020/2021;VIII;330000;8300;321700;26.4;849356
Trigo;2020/2021;IX;595000;12000;583000;39.2;2285842
Trigo;2020/2021;X;395000;8000;387000;43.6;1686948
Trigo;2020/2021;XI;640000;11000;629000;24.8;1559665
Trigo;2020/2021;XII;717000;9000;708000;47.8;3384084
Trigo;2020/2021;XIII;12000;2000;10000;13.1;13112
Trigo;2020/2021;XIV;133000;4000;129000;37.8;487915
Trigo;2020/2021;XV;23000;1000;22000;22.8;50222
Trigo;2020/2021;TOTAL;6500000;466200;6033800;28.2;17000000
Girasol;2000/2001;VI;25000;200;24800;20.1;49848
Girasol;2000/2001;VIII;45000;200;44800;16.5;73920
Girasol;2000/2001;VII;45000;1200;43800;18;78840
Girasol;2000/2001;X;30000;1000;29000;20;58000
Girasol;2000/2001;XI;380000;25900;354100;15;531150
Girasol;2000/2001;XII;580000;9000;571000;15.5;885050
Girasol;2000/2001;TOTAL;1965000;80000;1885000;16.7;3148583
Girasol;2001/2002;VI;20000;0;20000;21.5;43000
Girasol;2001/2002;VIII;38000;3000;35000;16;56000
Girasol;2001/2002;VII;10000;500;9500;24;22800
Girasol;2001/2002;X;40000;2000;38000;21;79800
Girasol;2001/2002;XI;430000;3000;427000;17.5;747250
Girasol;2001/2002;XII;680000;20000;660000;16.8;1108800
Girasol;2001/2002;TOTAL;2045000;44000;2001000;19;3808800
Girasol;2002/2003;VI;22000;500;21500;17;36550
Girasol;2002/2003;VIII;50000;500;49500;13;64350
Girasol;2002/2003;VII;12000;800;11200;22;24640
Girasol;2002/2003;X;40000;800;39200;22;86240
Girasol;2002/2003;XI;460000;2200;457800;15.2;695856
Girasol;2002/2003;XII;670000;5000;665000;13.4;891100
Girasol;2002/2003;TOTAL;2300000;55300;2244700;16.1;3603486
Girasol;2003/2004;VI;15000;0;15000;20;30000
Girasol;2003/2004;VIII;25000;0;25000;19;47500
Girasol;2003/2004;VII;10000;500;9500;21.2;20140
Girasol;2003/2004;X;40000;1800;38200;21;80220
Girasol;2003/2004;XI;410000;2000;408000;16.1;656880
Girasol;2003/2004;XII;630000;7000;623000;17;1059100
Girasol;2003/2004;TOTAL;1800000;25800;1774200;17.7;3146065
Girasol;2004/2005;VI;17000;3000;14000;23;32200
Girasol;2004/2005;VIII;30000;0;30000;20;60000
Girasol;2004/2005;VII;12000;0;12000;22;26400
Girasol;2004/2005;X;46000;0;46000;27;124200
Girasol;2004/2005;XI;470000;0;470000;17;799000
Girasol;2004/2005;XII;700000;5000;695000;19.6;1362200
Girasol;2004/2005;TOTAL;1920000;55000;1865000;18.9;3524800
Girasol;2005/2006;VI;15000;200;14800;21;31080
Girasol;2005/2006;VIII;48000;500;47500;19.3;91675
Girasol;2005/2006;VII;16000;0;16000;22;35200
Girasol;2005/2006;X;50000;500;49500;23;113850
Girasol;2005/2006;XI;495000;2000;493000;15;739500
Girasol;2005/2006;XII;710000;0;710000;19.7;1398700
Girasol;2005/2006;TOTAL;2210000;60000;2150000;17.6;3779065
Girasol;2006/2007;VI;16000;500;15500;17;26350
Girasol;2006/2007;VIII;53000;1300;51700;14;72380
Girasol;2006/2007;VII;17000;0;17000;22;37400
Girasol;2006/2007;X;56000;500;55500;22;122100
Girasol;2006/2007;XI;583000;15500;567500;13.6;771800
